trade_id,ts_utc,venue,match_name,market_type,question,outcome,side,true_p,market_price,edge,kelly_frac,stake_usd,shares,order_id,status,detail,condition_id,token_id
1,2026-07-07T22:49:09+00:00,polymarket,Marta Kostyuk vs Jasmine Paolini,match,Wimbledon WTA: Marta Kostyuk vs Jasmine Paolini,Marta Kostyuk,player1,0.78,0.71,0.07000000000000006,0.05,25.0,35.21,,dry_run,simulated buy 35.21 sh @ 0.710,0x00a98be91394689188f2979411d033b64ac94e86fd64c8cdec0e47a44b2b5f2a,72013254678898753214536728564502317072144657539273156607012518774824530095181
2,2026-07-09T16:48:47+00:00,local,polymarket,Tanisha Kashyap vs D'Estree Colalancia,match,ITF Gaborone: Tanisha Kashyap vs D'Estree Colalancia,Tanisha Kashyap,player1,0.8,0.5505,0.24950000000000006,0.05,25.0,45.41,,dry_run,simulated buy 45.41 sh @ 0.550,0x525a9236e142e73f1d5bc3497eb870e0c4d799a83ed908b3b81f8503b13b2876,96507034476044537830923686890554311742055657731370228790259017963021089634208
3,2026-07-10T23:40:12+00:00,local,polymarket,Clement Chidekh vs Alastair Gray,match,Nottingham 3: Clement Chidekh vs Alastair Gray,Alastair Gray,player2,0.7103,0.59,0.12030000000000007,0.05,25.0,42.37,,dry_run,simulated buy 42.37 sh @ 0.590,0x691c1f89e11c2ac96fc506d2b0256056302792870bef00a39111eb916d2af27e,66442658190446594624894939123811843102889305168542385366011040787583642211280
4,2026-07-10T23:40:12+00:00,local,polymarket,Clement Chidekh vs Alastair Gray,set1,Set 1 Winner: Chidekh vs Gray,Gray,player2,0.6442,0.58,0.06420000000000003,0.03821428571428575,25.0,43.1,,dry_run,simulated buy 43.10 sh @ 0.580,0x256bccf83d9927cac6b32df09b98c971949d4dd4488986d2e6c74b5142d9df82,76064106396006130064823241778009263095915857972287110844138116710728787890838
5,2026-07-10T23:40:13+00:00,local,polymarket,Zsombor Piros vs Jerome Kym,match,Iasi: Zsombor Piros vs Jerome Kym,Zsombor Piros,player1,0.583,0.56,0.02299999999999991,0.013068181818181774,25.0,44.64,,dry_run,simulated buy 44.64 sh @ 0.560,0xf47cd6a4f52e4b6be82ef6aaa2153ea809eb8ef61aea5ff65ae16f260e6cdc12,67935350319488696136324152910121869270288999060493632149698222135236512562840
6,2026-07-10T23:40:14+00:00,local,polymarket,Matej Dodig vs Henri Squire,match,Trieste: Matej Dodig vs Henri Squire,Matej Dodig,player1,0.7673,0.51,0.2573,0.05,25.0,49.02,,dry_run,simulated buy 49.02 sh @ 0.510,0x2c358497fffabc477818d7544a4fb0fec1245456abbdf669972fd160cc459de2,93867184244270799578566215110861464170328929532073399263151501439368505087906
7,2026-07-10T23:40:15+00:00,local,polymarket,Matej Dodig vs Henri Squire,set1,Set 1 Winner: Dodig vs Squire,Dodig,player1,0.6869,0.53,0.15689999999999993,0.05,25.0,47.17,,dry_run,simulated buy 47.17 sh @ 0.530,0xfb08c1ea9c07da59d13d2704f2d201adbbeb645ff198628d693c8a3fa7d34abc,20106671257040654434112045827308963779604631610465648521747094209488436766144
8,2026-07-10T23:40:15+00:00,local,polymarket,Matej Dodig vs Henri Squire,set2,Set 2 Winner: Dodig vs Squire,Dodig,player1,0.6869,0.5,0.18689999999999996,0.05,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0xc27ba476d60993b36788c012404840ad65ec0e69995900f11eb5788d2b9059d9,70725411995863894991264868893062173125112805863766671323055945401569818820361
9,2026-07-10T23:40:15+00:00,local,polymarket,Thiago Monteiro vs Pierre-Hugues Herbert,set1,Set 1 Winner: Monteiro vs Herbert,Monteiro,player1,0.5602,0.5,0.06020000000000003,0.030100000000000016,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0x1e7f6db947a5869e30be9458397272740b407c0fefc5913efa37e8d9383a91ad,35700278276157585033712158631275841823490987446581932592559249722080332488581
10,2026-07-10T23:40:15+00:00,local,polymarket,Thiago Monteiro vs Pierre-Hugues Herbert,set2,Set 2 Winner: Monteiro vs Herbert,Monteiro,player1,0.5602,0.5,0.06020000000000003,0.030100000000000016,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0x3d91ddb77104a7667a22486335f80888426fdb6b0540510139a98d44fffb56cc,98026168765863426240255176720497407364749513537618789915342621413894621836660
11,2026-07-10T23:40:16+00:00,local,polymarket,Manoj Dhamne Manas vs Vitaliy Sachko,match,"Swiss Open, Qualification: Manoj Dhamne Manas vs Vitaliy Sachko",Manoj Dhamne Manas,player1,0.9546,0.49,0.4646,0.05,25.0,51.02,,dry_run,simulated buy 51.02 sh @ 0.490,0x51540d9b98fb4c5656796f6c414d315c980c9882c862650d56d8c713522bb103,96157974575543481718195400508630898919791612508879396432758264721724000101685
12,2026-07-10T23:40:16+00:00,local,polymarket,Manoj Dhamne Manas vs Vitaliy Sachko,set1,Set 1 Winner: Manas vs Sachko,Manas,player1,0.8714,0.5,0.37139999999999995,0.05,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0x0fd6c1bb3dc6675c9c8873526729a6e397b850466e1e0106cdda0b2e57dd5f8a,60467588524684123073940177138143442447248358901552722561972597847303335601565
13,2026-07-10T23:40:16+00:00,local,polymarket,Daniel Michalski vs Calvin Hemery,match,"Swiss Open, Qualification: Daniel Michalski vs Calvin Hemery",Daniel Michalski,player1,0.6293,0.529,0.10029999999999994,0.05,25.0,47.26,,dry_run,simulated buy 47.26 sh @ 0.529,0x6ae240e1367f30d167414b37530e47df96e21d025d13f5c5408e771805f76429,20282255147956464216443533053796123666744274920180411734345855791581005318618
14,2026-07-10T23:40:16+00:00,local,polymarket,Daniel Michalski vs Calvin Hemery,set2,Set 2 Winner: Michalski vs Hemery,Michalski,player1,0.5871,0.5,0.08709999999999996,0.04354999999999998,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0xa73a79c6361860e05d2d6e003974875b06d33f0c3850960957ce0043f3aba2f9,108801392285027715592335385793199829741586727933183634471968096148108607465667
15,2026-07-10T23:40:17+00:00,local,polymarket,Aziz Dougaz vs Nicolas Robert,set2,Set 2 Winner: Dougaz vs Robert,Dougaz,player1,0.715,0.5,0.21499999999999997,0.05,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0x7e1bca894d700b8d819df9af19b13eea960cc83cfbc2ae73656691c0007cd1fb,52689980009924134487305619646171628344166249957764084700327579536507960649151
16,2026-07-10T23:40:17+00:00,local,polymarket,Carol Young Suh Lee vs Francisca Jorge,match,ITF Corroios-Seixal: Carol Young Suh Lee vs Francisca Jorge,Carol Young Suh Lee,player1,0.8948,0.56,0.3348,0.05,25.0,44.64,,dry_run,simulated buy 44.64 sh @ 0.560,0xdb541d83359506b8d9b6b0badfc54640cb075ce16a25b497d6e242079d480caa,67356983861217080544485852761736601437222726980264137172978520569549405084549
17,2026-07-10T23:40:17+00:00,local,polymarket,Carol Young Suh Lee vs Francisca Jorge,set1,Set 1 Winner: Lee vs Jorge,Lee,player1,0.7987,0.55,0.24869999999999992,0.05,25.0,45.45,,dry_run,simulated buy 45.45 sh @ 0.550,0xb9b98792fee517bce0dd14280bdc53724300adea6de9c0efbb9a82b931e89cb7,31747245812279292415640663787068635530565204533354401358231647727297350468980
18,2026-07-10T23:40:17+00:00,local,polymarket,Carol Young Suh Lee vs Francisca Jorge,set2,Set 2 Winner: Lee vs Jorge,Lee,player1,0.7987,0.5,0.29869999999999997,0.05,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0x1ac36f806b23627e3683cd8c53728132cf2dfea2cf4ad4cf1aff444e65af78ed,67521863025934671514268746814534822511020225318108206792367151700469024324088
19,2026-07-10T23:40:18+00:00,local,polymarket,Marc-Andrea Huesler vs Edas Butvilas,match,"Swiss Open, Qualification: Marc-Andrea Huesler vs Edas Butvilas",Marc-Andrea Huesler,player1,0.9401,0.572,0.3681000000000001,0.05,25.0,43.71,,dry_run,simulated buy 43.71 sh @ 0.572,0xa85e85837cc2a80302c73f75553892fcedb6bb27bfc517df0f2f1fde41b2e64a,100813039650099228683307051443514322641076949441542752720036247466492669751223
20,2026-07-10T23:40:18+00:00,local,polymarket,Adam Walton vs Alex Michelsen,match,Newport: Adam Walton vs Alex Michelsen,Alex Michelsen,player2,0.7303,0.66,0.07029999999999992,0.05,25.0,37.88,,dry_run,simulated buy 37.88 sh @ 0.660,0x880ee591de327b9225560f576b05ba599f3a6924f8555cc95155d27b30c96e51,48555410774083178210738941575394702746584067356530622564825906819134243020342
21,2026-07-10T23:40:18+00:00,local,polymarket,Adam Walton vs Alex Michelsen,set1,Set 1 Winner: Walton vs Michelsen,Michelsen,player2,0.6588,0.63,0.028800000000000048,0.019459459459459507,25.0,39.68,,dry_run,simulated buy 39.68 sh @ 0.630,0x05bb39c901155d44fb6b18578d281278a0e34154d73ad760d25bb9aa9fae4907,107408677257419415861670772932560193597154154001913778347745631698094513080670
22,2026-07-10T23:40:19+00:00,local,polymarket,Adam Walton vs Alex Michelsen,set2,Set 2 Winner: Walton vs Michelsen,Michelsen,player2,0.6588,0.5,0.15880000000000005,0.05,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0x6dfcffabbce1f2a59995f4d3d1764c73d9091dccf7b44f7d962ad25d4f85ad58,40245160404883204843026729207893208005372712414495877630274864246872060093141
23,2026-07-10T23:40:19+00:00,local,polymarket,Nicolas Mejia vs Juan Pablo Varillas,match,Bogota: Nicolas Mejia vs Juan Pablo Varillas,Juan Pablo Varillas,player2,0.7015,0.41,0.29150000000000004,0.05,25.0,60.98,,dry_run,simulated buy 60.98 sh @ 0.410,0x8800d6a1b43bcaa618863e80a0c7a0b93401a3ef5369b60d9ead0da22a47ce52,97530808284875080062092491688276642493516516228595207154554706621208395020394
24,2026-07-10T23:40:19+00:00,local,polymarket,Nicolas Mejia vs Juan Pablo Varillas,set1,Set 1 Winner: Mejia vs Varillas,Varillas,player2,0.6378,0.55,0.08779999999999999,0.04877777777777776,25.0,45.45,,dry_run,simulated buy 45.45 sh @ 0.550,0x404100d737e21d71d6b87f36ed1050c1e045cd0ff1fe56b282abffd5e8b0f4dc,109116583827878245949471644543760960152817747137329833965620602986514794791019
25,2026-07-10T23:40:19+00:00,local,polymarket,Nicolas Mejia vs Juan Pablo Varillas,set2,Set 2 Winner: Mejia vs Varillas,Varillas,player2,0.6378,0.5,0.13780000000000003,0.05,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0xf369e44b7569ae96ef8dbaa8e7320ed00bcb078f9ed7caa79292000aba996d10,26350064800392308094732583837533905219999082584544734681278438053999100198219
26,2026-07-10T23:40:19+00:00,local,polymarket,Han Shi vs Xinyu Gao,match,ITF Corroios-Seixal: Han Shi vs Xinyu Gao,Han Shi,player1,0.98,0.39,0.59,0.05,25.0,64.1,,dry_run,simulated buy 64.10 sh @ 0.390,0xfb7bb85c890aa6de46cf0bb9908711a7b2a9458c0596f1c89cd0577f39332f17,113260206865441495703313338822725325901940273531846742279507084934366953537228
27,2026-07-10T23:40:19+00:00,local,polymarket,Han Shi vs Xinyu Gao,set1,Set 1 Winner: Shi vs Gao,Shi,player1,0.98,0.42,0.56,0.05,25.0,59.52,,dry_run,simulated buy 59.52 sh @ 0.420,0x227e6fc99cad2a318028ad9a81b727b8d157101c6e79e2593b77bbdcd11cd6d9,17858175258895488365442617076637649228945583993758577458716659630952583035911
28,2026-07-10T23:40:20+00:00,local,polymarket,Han Shi vs Xinyu Gao,set2,Set 2 Winner: Shi vs Gao,Shi,player1,0.98,0.5,0.48,0.05,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0xe1633b69cf43cb911c1b0e1058994295fa87447d76d9904c4c8672b55d327b9a,89894237689029131195350301233724546835147663362305220578669338949285380008121
29,2026-07-10T23:40:20+00:00,local,polymarket,Oceane Babel vs Jimar Geraldine Gerald Gonzalez,match,ITF Rio Claro: Oceane Babel vs Jimar Geraldine Gerald Gonzalez,Jimar Geraldine Gerald Gonzalez,player2,0.61,0.21,0.4,0.05,25.0,119.05,,dry_run,simulated buy 119.05 sh @ 0.210,0x530df77b74e5d07471987a2122ab532d8cf60580f151c359c0b5b8b7c02d6527,97091563602015078142026511875030867763421462276936826840335517653986441332705
30,2026-07-10T23:40:20+00:00,local,polymarket,Oceane Babel vs Jimar Geraldine Gerald Gonzalez,set2,Set 2 Winner: Babel vs Gonzalez,Gonzalez,player2,0.5739,0.5,0.07389999999999997,0.03694999999999998,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0x5562175c2db5c8dd30b5d4ea57d0397d4290f43f2dd6265610660770e0984fd4,58982396801357485597450486419796543648491208721217669260594829543961749009562
31,2026-07-10T23:40:21+00:00,local,polymarket,Alexander Bury vs Facundo Bagnis,set1,Set 1 Winner: Bury vs Bagnis,Bury,player1,0.6393,0.5,0.13929999999999998,0.05,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0xa9cd69bd6af4317526e644fafda5ec64f294908e25fe30d659774fdac9fccc2c,100650825459220440376995999909120480622455953316403203500636594552072901336928
32,2026-07-10T23:40:21+00:00,local,polymarket,Alexander Bury vs Facundo Bagnis,set2,Set 2 Winner: Bury vs Bagnis,Bury,player1,0.6393,0.5,0.13929999999999998,0.05,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0xa5fa7bc6bea8587c0499cf43e9dc889651535227bcf34522d99becddd254b748,106992763124971550502663327110458984053214286737008526068378583275868892777934
33,2026-07-10T23:40:21+00:00,local,polymarket,Roberto Carballes Baena vs Rogerio Dutra Da Silva,set1,Set 1 Winner: Baena vs Silva,Baena,player1,0.98,0.5,0.48,0.05,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0x2346dc963a2ef86d8d95e0b77199fafab896bc5083a90c8e0b84dd05b8198f38,30740416310006509238623965376690966563853994315705694465718192400216029229344
34,2026-07-10T23:40:22+00:00,local,polymarket,Ariel Behar vs Guillermo Duran,set2,Set 2 Winner: Behar vs Duran,Duran,player2,0.7157,0.5,0.2157,0.05,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0xf618708705c29a891037c68c6a6ceafbdb6cc102a593bf195aaa71ffe5194037,3199320373915736767980008417150454893983272460125097824601522575788445148972
35,2026-07-10T23:40:22+00:00,local,polymarket,Ariel Behar vs Guillermo Duran,set1,Set 1 Winner: Behar vs Duran,Duran,player2,0.7157,0.5,0.2157,0.05,25.0,50.0,,dry_run,simulated buy 50.00 sh @ 0.500,0x89555f9aa4b88955eccee6a833ad38428bb81c92e5e195cf281646f57f91bd43,54651161851715707853565565868832469792662683439448981866653658455308522740909
36,2026-07-10T23:40:22+00:00,local,polymarket,Jannik Sinner vs Alexander Zverev,match,Wimbledon ATP: Jannik Sinner vs Alexander Zverev,Jannik Sinner,player1,0.98,0.8,0.17999999999999994,0.05,25.0,31.25,,dry_run,simulated buy 31.25 sh @ 0.800,0xb96585ac41b808bac0bcfa00f39a92990c64dc413804368c7191ad4e1cd299a5,9773257986905054314865535114315861131161367765154232062156777240810251974291
37,2026-07-10T23:40:23+00:00,local,polymarket,Jannik Sinner vs Alexander Zverev,set1,Set 1 Winner: Sinner vs Zverev,Sinner,player1,0.98,0.71,0.27,0.05,25.0,35.21,,dry_run,simulated buy 35.21 sh @ 0.710,0xb0ca2f87bdc78cc96ea7a6456f2e8f90865e461dcd720c771eb7fb019e6ec8dd,57722910350615209456807782747666761699272051694099951113511507161006811769420
38,2026-07-10T23:40:23+00:00,local,polymarket,Jannik Sinner vs Alexander Zverev,set2,Set 2 Winner: Sinner vs Zverev,Sinner,player1,0.98,0.74,0.24,0.05,25.0,33.78,,dry_run,simulated buy 33.78 sh @ 0.740,0x5943f534c81ed9e14a0884130eafe49efcb9d0dbed29738c162c22c0e331136c,23458808943479938618105639996072514070754362006754037949218496296765044553966
39,2026-07-10T23:40:23+00:00,local,polymarket,Jannik Sinner vs Alexander Zverev,set3,Set 3 Winner: Sinner vs Zverev,Sinner,player1,0.98,0.65,0.32999999999999996,0.05,25.0,38.46,,dry_run,simulated buy 38.46 sh @ 0.650,0x3cafdc8b48204107e6517634593ddcc1784222f164889db0222b60b405a9f53d,53292094198786626184261899104691205854093967926197150854346549771050105280440
40,2026-07-11T01:01:56+00:00,local,polymarket,Daniel Michalski vs Calvin Hemery,set1,Set 1 Winner: Michalski vs Hemery,Michalski,player1,0.5871,0.56,0.027099999999999902,0.0153977272727272,25.0,44.64,,dry_run,simulated buy 44.64 sh @ 0.560,0x0675354bde8233bde5c2208e0f57968b941ff9a490514d9cdc6934eb55d3e168,1572015180577963710900245116166710010338853523922311641172560577661954760996
41,2026-07-11T01:01:57+00:00,local,polymarket,Marc-Andrea Huesler vs Edas Butvilas,set1,Set 1 Winner: Huesler vs Butvilas,Huesler,player1,0.8511,0.52,0.33109999999999995,0.05,25.0,48.08,,dry_run,simulated buy 48.08 sh @ 0.520,0xcd506729cab2098f084a55745e7582c809cd06b761dc92babc52d5dfedd964f9,12777009063353120204635886973944521906216914330578092657899655939053025692655
42,2026-07-11T03:25:36+00:00,local,polymarket,Alexander Bury vs Facundo Bagnis,match,"Croatia Open, Qualification: Alexander Bury vs Facundo Bagnis",Alexander Bury,player1,0.7035,0.65,0.05349999999999999,0.03821428571428567,25.0,38.46,,dry_run,simulated buy 38.46 sh @ 0.650,0xa45e9bee049b315e0377aa9bdb33f090601dbf60fba42b121ec31ada2abc6bfb,59245895279078858882774332242620054536937382883815588773763907451094519142041
